metric,group_a,group_b,n_a,n_b,mean_a,mean_b,mean_difference_a_minus_b,t_statistic,p_value,alpha,decision
satisfaction_score,chat,email,522,441,4.508429118773947,3.680952380952381,0.8274767378215655,15.731412277328328,1.1080477447574268e-48,0.05,Отвергаем H0
resolution_hours,high,normal,322,822,25.398136645962733,18.909367396593673,6.48876924936906,3.7189116521091745,0.00022116140993749133,0.05,Отвергаем H0
satisfaction_score,sla_breached,sla_ok,496,944,3.365120967741935,4.533474576271187,-1.168353608529252,-27.44301625991632,1.5995740992005267e-113,0.05,Отвергаем H0
